Location,Geographical Region,School Number,School,ENGLISH,NEPALI,MATHS,SCIENCE,SOCIAL STUDIES,HEALTH POPULATION AND ENVIRONMENT,TAP,SAP,DISTINCTION,FIRST DIVISION,SECOND DIVISION,THIRD DIVISION,PASS,FAIL,PASS PERCENT
"Morang, Kosi, Eastern",Terai,579,"LAXMI MA VI BHALUWA KERABARI, 9087",27.3,44.7,44.2,24.5,31.7,39.6,42,42,0,4,17,1,22,20,52.4
"Morang, Kosi, Eastern",Terai,580,"BALMIKI ENGLISH MA VI BIRATNAGAR, 9088",53.3,60.2,86.0,47.5,53.6,51.5,42,42,5,35,2,0,42,0,100.0
"Morang, Kosi, Eastern",Terai,581,"SHIVASHAKTI MA VI SORABHAGA, 9089",21.5,42.9,45.5,38.0,40.8,30.7,72,71,0,3,29,1,33,38,46.5
"Morang, Kosi, Eastern",Terai,582,"TRIBHUVAN MA VI GOHIGADA, 9090",17.2,29.6,33.2,25.8,37.0,36.7,61,61,0,2,9,1,12,49,19.7
"Morang, Kosi, Eastern",Terai,583,"MA VI MIRGAULIYA, 9091",16.0,36.0,25.1,25.4,31.3,31.9,89,89,0,2,7,0,9,80,10.1
"Morang, Kosi, Eastern",Terai,584,"SARWAJANIK MA VI KERABARI-6, 9092",20.2,42.5,42.1,25.8,31.9,42.2,42,41,0,0,14,0,14,27,34.1
"Morang, Kosi, Eastern",Terai,585,"BHAGIRATHA MA VI SHANISHCHARE, 9093",28.6,46.9,44.7,36.7,41.4,38.3,83,83,0,11,41,9,61,22,73.5
"Morang, Kosi, Eastern",Terai,586,"GURUKUL MA VI BIRATNAGAR-18, 9094",23.8,46.5,37.4,22.9,38.2,42.0,30,30,0,2,7,1,10,20,33.3
"Morang, Kosi, Eastern",Terai,587,"BHANU MEMORIAL ENGLISH BOARDING SCHOOL BIRATNAGAR, 9095",49.1,60.5,75.2,65.4,60.9,56.0,28,28,4,24,0,0,28,0,100.0
"Morang, Kosi, Eastern",Terai,588,"SHIKSHYA VIKASH MA VI DALELEE KERAUN, 9097",28.2,38.9,36.9,24.7,39.8,31.3,65,65,0,3,20,15,38,27,58.5
"Morang, Kosi, Eastern",Terai,589,"BHRIKUTI KANYA MA VI URLABARI, 9098",45.3,51.8,54.5,38.2,49.3,44.1,24,24,0,14,9,0,23,1,95.8
"Morang, Kosi, Eastern",Terai,590,"JANAPATH MA VI BIRATNAGAR, 9099",24.2,39.0,41.0,27.6,34.1,28.7,39,39,0,1,9,4,14,25,35.9
"Morang, Kosi, Eastern",Terai,591,"MAHALAXMI MA VI DARBESHA, 9100",27.6,33.1,36.9,28.5,36.0,38.2,37,37,0,2,13,1,16,21,43.2
"Morang, Kosi, Eastern",Terai,592,"STAR BOARDING SCHOOL BIRATNAGAR, 9101",57.0,61.5,78.4,59.4,60.8,48.3,32,32,9,22,1,0,32,0,100.0
"Morang, Kosi, Eastern",Terai,593,"KALYANKARI MA VI SINGHDEVI SOMBARE, 9102",15.8,35.0,26.8,22.6,22.0,33.3,15,15,0,0,2,0,2,13,13.3
"Morang, Kosi, Eastern",Terai,594,"SAGARMATHA SECONDARY BOARDING SCHOOL BIRATNAGAR, 9103",57.3,65.7,90.0,64.5,64.9,59.1,138,138,74,64,0,0,138,0,100.0
"Morang, Kosi, Eastern",Terai,595,"BANI MA VI SIDHARAHA, 9104",18.3,42.6,30.6,23.4,23.8,39.0,45,45,0,0,5,2,7,38,15.6
"Morang, Kosi, Eastern",Terai,596,"SHIKSHA VIKAS MA VI LETANG KHERUWA, 9105",24.6,33.8,29.7,24.3,34.5,34.1,72,72,0,2,22,3,27,44,37.5
"Morang, Kosi, Eastern",Terai,597,"KOSHI VIDYA MANDIR BIRATNAGAR, 9106",61.0,58.3,86.7,60.3,71.0,53.8,38,38,14,24,0,0,38,0,100.0
"Morang, Kosi, Eastern",Terai,598,"BHAGAWATI MA VI MADHUMALLA, 9107",26.9,39.6,36.2,32.6,28.1,44.3,114,114,0,4,41,3,48,66,42.1
"Morang, Kosi, Eastern",Terai,599,"MAHENDRA MA VI WARANGI, 9108",19.2,26.4,19.8,15.1,21.0,27.7,17,17,0,0,0,1,1,16,5.9
"Morang, Kosi, Eastern",Terai,600,"VINAYAK BOARDING SECONDARY SCHOOL MILLSAREA BIRATNAG, 9109",55.0,57.0,75.9,50.5,60.9,48.9,35,35,7,25,3,0,35,0,100.0
"Morang, Kosi, Eastern",Terai,601,"SHIKSHADEEP SECONDARY BOARDING SCHOOL BIRATNAGAR, 9110",34.0,42.4,46.2,29.0,45.1,42.6,35,35,0,7,21,0,28,7,80.0
"Morang, Kosi, Eastern",Terai,602,"THE RISING ENGLISH BOARDING SCHOOL INDRAPUR 3, 9111",54.9,52.7,76.3,56.2,56.8,52.6,24,24,4,17,3,0,24,0,100.0
"Morang, Kosi, Eastern",Terai,603,"MA VI LETI GOVINDPUR, 9112",23.2,39.4,46.5,36.3,41.6,30.8,45,45,0,5,12,0,17,28,37.8
"Morang, Kosi, Eastern",Terai,604,"GURANS ENGLISH BOARDING SCHOOL LETANG 6, 9113",40.9,44.5,63.4,42.1,42.5,43.5,26,26,0,12,13,0,25,1,96.2
"Morang, Kosi, Eastern",Terai,605,"EVEREST ENGLISH BOARDING SCHOOL PATHARI 1, 9114",48.4,60.6,80.3,41.9,59.3,52.7,34,34,2,30,2,0,34,0,100.0
"Morang, Kosi, Eastern",Terai,606,"EDEN NATIONAL BOARDING SCHOOL BIRATNAGAR, 9115",57.8,59.3,83.0,58.6,65.1,53.7,49,49,17,30,2,0,49,0,100.0
"Morang, Kosi, Eastern",Terai,607,"LETANG SECONDARY BOARDING SCHOOL LETANG, 9116",32.6,45.6,57.6,31.1,37.1,40.9,39,39,0,9,18,3,30,9,76.9
"Morang, Kosi, Eastern",Terai,608,"DON BOSCO SCHOOL (NILGIRI) BIRATNAGAR, 9117",59.4,60.2,85.9,54.6,54.4,49.4,37,37,13,24,0,0,37,0,100.0
"Morang, Kosi, Eastern",Terai,609,"MAHENDRA MA VI MOTIPUR, 9118",21.4,36.6,33.6,25.7,20.0,30.5,41,40,0,0,1,2,3,37,7.5
"Morang, Kosi, Eastern",Terai,610,"NEW PAGODA ENGLISH SCHOOL PATHARI 1, 9119",44.3,49.2,72.8,34.6,55.6,50.4,28,28,0,20,8,0,28,0,100.0
"Morang, Kosi, Eastern",Terai,611,"BHANU MEMORIAL ACADEMY RANGELI, 9120",57.5,51.1,84.2,49.6,44.6,55.1,41,41,4,34,3,0,41,0,100.0
"Morang, Kosi, Eastern",Terai,612,"GALAXY PUBLIC HIGH SCHOOL BIRATNAGAR, 9121",49.3,45.0,70.9,46.5,43.1,40.1,15,15,0,13,0,0,13,0,86.7
"Morang, Kosi, Eastern",Terai,613,"DEVKOTA PUBLIC SECONDARY ENGLISH BOARDING SCHOOL BIRA, 9122",62.5,58.6,82.4,61.8,59.0,55.3,28,28,9,19,0,0,28,0,100.0
"Morang, Kosi, Eastern",Terai,614,"VIDYAJYOTI BOARDING SCHOOL URLABARI MANGALBARE, 9123",44.6,43.1,44.8,40.2,45.2,46.4,21,21,0,10,7,0,17,4,81.0
"Morang, Kosi, Eastern",Terai,615,"EVEREST ENGLISH BOARDING SCHOOL BIRATNAGAR, 9124",57.8,59.5,83.1,44.0,61.6,40.7,43,43,12,31,0,0,43,0,100.0
"Morang, Kosi, Eastern",Terai,616,"JANTA MA VI GANDHI ASHRAM AMARDAH, 9125",25.5,38.8,32.3,33.2,34.6,33.3,80,80,0,8,22,7,37,43,46.3
"Morang, Kosi, Eastern",Terai,617,"DED RAJ SEWALI DEVI TODI D A V KEDIA VISHAWABHARTI, 9126",65.2,66.9,84.5,64.2,62.0,53.8,21,21,11,10,0,0,21,0,100.0
"Morang, Kosi, Eastern",Terai,618,"SHREE RAM MEMORIAL ENGLISH SCHOOL BIRATNAGAR, 9127",45.6,52.3,81.5,46.5,54.9,61.3,43,43,1,40,2,0,43,0,100.0
"Morang, Kosi, Eastern",Terai,619,"JANATA MA VI BAHUWAN AMAGACHHI, 9128",23.5,26.8,33.7,28.3,26.1,34.3,48,48,0,2,5,1,8,40,16.7
"Morang, Kosi, Eastern",Terai,620,"SAPTAKOSHI ENGLISH BOARDING HIGH SCHOOL URLABARI, 9129",61.8,64.5,81.6,63.9,55.4,54.5,26,26,8,18,0,0,26,0,100.0
"Morang, Kosi, Eastern",Terai,621,"BALMIKI MEMORIAL BOARDING SCHOOL PATHARI, 9130",51.9,63.0,87.6,40.6,65.3,57.7,37,37,2,35,0,0,37,0,100.0
"Morang, Kosi, Eastern",Terai,622,"ANNAPURNA SECONDARY ENGLISH BOARDING SCHOOL PATHARI, 9131",46.2,49.1,75.7,32.7,59.8,53.5,40,40,0,35,4,0,39,1,97.5
"Morang, Kosi, Eastern",Terai,623,"JANTA MA VI AAMGACHHI, 9132",23.0,29.0,28.8,29.1,24.4,32.1,23,23,0,0,2,2,4,19,17.4
"Morang, Kosi, Eastern",Terai,624,"PRAJATANTRA MA VI BHAUDAHA, 9133",25.1,39.7,49.7,24.4,23.9,40.6,28,28,0,1,5,2,8,20,28.6
"Morang, Kosi, Eastern",Terai,625,"DHANPAL MA VI KASENI, 9134",23.5,46.2,39.2,33.6,30.9,38.2,101,101,1,12,20,6,39,62,38.6
"Morang, Kosi, Eastern",Terai,626,"BIRAT VICTORIA MEMORIAL SCHOOL BIRATNAGAR, 9135",63.7,64.7,93.7,52.7,51.0,54.7,3,3,1,2,0,0,3,0,100.0
"Morang, Kosi, Eastern",Terai,627,"PRATIBHA BOARDING SCHOOL RAJGHAT, 9136",32.4,45.0,34.2,37.0,39.4,34.8,28,28,0,1,19,0,20,8,71.4
"Morang, Kosi, Eastern",Terai,628,"MT MAKALU RESIDENTIAL SECONDARY SCHOOL DULARI, 9137",53.4,59.4,83.8,59.7,47.7,50.3,29,29,1,27,1,0,29,0,100.0
"Morang, Kosi, Eastern",Terai,629,"BHANU MEMORIAL ENGLISH SCHOOL BELBARI, 9138",39.2,47.4,53.6,44.5,50.5,46.4,20,20,0,5,15,0,20,0,100.0
"Morang, Kosi, Eastern",Terai,630,"SUMAN BIWEK JIWAN MUNA RANJITA MEMORIAL ENGLISH SCHOO, 9139",50.3,55.0,86.0,54.4,54.1,53.6,41,41,5,34,2,0,41,0,100.0
"Morang, Kosi, Eastern",Terai,631,"SUNSHINE ENGLISH SECONDARY BOARDING SCHOOL URLABARI, 9140",45.3,59.8,67.9,52.8,54.7,53.6,12,12,0,12,0,0,12,0,100.0
"Morang, Kosi, Eastern",Terai,632,"BAL BATIKA ENGLISH BOARDING SCHOOL BIRATNAGAR, 9141",51.4,64.4,60.4,37.0,52.8,58.8,5,5,1,4,0,0,5,0,100.0
"Morang, Kosi, Eastern",Terai,633,"SAGARMATHA ENGLISH SCHOOL BELBAREE, 9142",36.9,49.8,49.6,42.8,47.2,43.8,35,35,0,7,24,1,32,3,91.4
"Morang, Kosi, Eastern",Terai,634,"GALAXY ACADEMY LETANG, 9143",24.3,41.1,44.1,28.8,30.9,39.0,24,24,0,2,11,0,13,10,54.2
"Morang, Kosi, Eastern",Terai,635,"BIRAT CO-OPERATIVE ENGLISH BOARDING SCHOOL MUNALPATH-, 9144",49.9,53.0,73.6,37.2,46.6,47.4,17,17,0,13,3,0,16,1,94.1
"Morang, Kosi, Eastern",Terai,636,"SARASWATI MA VI SIJUWA-5 KADUPADA, 9145",25.0,43.4,39.6,31.4,34.2,31.5,34,34,0,1,12,2,15,19,44.1
"Morang, Kosi, Eastern",Terai,637,"ORCHID PUBLIC SCHOOL BIRATNAGAR-13, 9146",57.6,59.6,78.3,50.9,66.5,50.8,17,17,5,11,0,0,16,1,94.1
"Morang, Kosi, Eastern",Terai,638,"INDRAPUR NAMUNA MA VI INDRAPUR-4, 9147",43.3,55.3,68.5,57.3,53.5,49.3,11,11,1,9,1,0,11,0,100.0
"Morang, Kosi, Eastern",Terai,639,"JANAKI ENGLISH BOARDING SCHOOL JANAPATH BIRATNAGAR-15, 9148",53.9,48.8,85.7,50.4,47.6,40.4,10,10,0,10,0,0,10,0,100.0
"Morang, Kosi, Eastern",Terai,640,"BRIGHT FUTURE ENGLISH SCHOOL SALAKPURBAZAR, 9149",49.0,59.6,85.0,58.2,50.6,46.8,27,27,1,24,2,0,27,0,100.0
"Morang, Kosi, Eastern",Terai,641,"SARASWOTI VIDYA MANDIR BOARDING SCHOOL SUNDERPUR-9, 9150",42.3,47.4,60.8,45.3,49.6,41.9,29,29,0,14,14,0,28,1,96.6
"Morang, Kosi, Eastern",Terai,642,"SHREE MA VI JANTE-9, 9151",22.1,39.9,34.8,25.1,31.4,37.4,60,60,0,2,15,0,17,43,28.3
"Morang, Kosi, Eastern",Terai,643,"JANAPRIYA MA VI BABIYA BIRTA-5, 9152",20.1,38.6,42.8,31.7,36.4,29.7,90,89,0,1,34,3,38,51,42.7
"Morang, Kosi, Eastern",Terai,644,"JUPITER ENGLISH SECONDARY SCHOOL DULARI-5, 9154",33.4,58.3,62.3,47.0,47.9,44.5,47,47,0,22,20,0,42,5,89.4
"Morang, Kosi, Eastern",Terai,645,"MINERVA JUNIOR ENGLISH SCHOOL LETANG-2, 9155",42.0,48.1,54.1,42.2,42.3,47.3,15,15,0,7,7,1,15,0,100.0
"Morang, Kosi, Eastern",Terai,646,"A1 QUALITY SCHOOL BIRATNAGAR-4, 9156",59.2,66.2,85.1,51.7,59.9,43.9,14,14,2,12,0,0,14,0,100.0
"Morang, Kosi, Eastern",Terai,647,"SHISHU SHIKSHA SADAN ENGLISH SCHOOL RAJGHAT-5, 9157",60.2,53.7,88.1,55.6,54.2,49.5,11,11,0,11,0,0,11,0,100.0
"Morang, Kosi, Eastern",Terai,648,"REDSTAR ENGLISH BOARDING SCHOOL PATHARI-2, 9158",47.0,58.8,77.4,34.4,52.2,57.3,9,9,0,9,0,0,9,0,100.0
"Morang, Kosi, Eastern",Terai,649,"LAXMI MA VI DANGRAHA, 9159",20.8,35.5,24.8,21.7,33.9,37.5,39,39,0,2,4,1,7,32,17.9
"Morang, Kosi, Eastern",Terai,650,"SHIKSHA NIKETAN MA VI MRIGOULIYA, 9160",16.5,34.1,26.8,27.2,33.8,36.7,57,57,0,4,3,1,8,48,14.0
"Morang, Kosi, Eastern",Terai,651,"KARMAVEER MA VI HATIMUDA, 9161",25.2,36.4,27.7,22.8,35.8,39.5,33,33,0,2,9,1,12,21,36.4
"Morang, Kosi, Eastern",Terai,652,"SHIKSHA SADAN MA VI BAYARBAN HARAKPUR, 9162",27.5,42.9,45.7,35.2,39.8,34.0,31,31,0,5,16,6,27,4,87.1
"Morang, Kosi, Eastern",Terai,653,"RASTRANIRMAN MA VI  ITAHARA, 9163",44.3,59.1,52.5,51.3,44.8,48.6,30,30,0,15,15,0,30,0,100.0
"Morang, Kosi, Eastern",Terai,654,"PARAGON ACADEMY  PUSPALAL CHOWK BIRATNAGAR, 9164",61.8,61.4,81.0,54.4,51.1,41.6,14,14,1,11,2,0,14,0,100.0
"Morang, Kosi, Eastern",Terai,655,"GEMS INTERNATIONAL SECONDARY BOARDING SCHOOL POKHAR, 9165",56.8,58.8,89.1,59.5,69.1,54.1,31,31,12,19,0,0,31,0,100.0
"Morang, Kosi, Eastern",Terai,656,"LETANG GREEN VALLEY ACADEMY LETANG, 9166",45.8,53.8,58.7,43.9,50.7,40.1,9,9,0,4,5,0,9,0,100.0
"Morang, Kosi, Eastern",Terai,657,"MOTHER TERESA MEMORIAL ENGLISH BOARDING SCHOOL BIRAT, 9167",56.9,58.1,76.8,51.8,54.4,50.2,16,16,0,15,0,0,15,1,93.8
"Morang, Kosi, Eastern",Terai,658,"GYANODAYA VIDYA NIKETAN MA VI HAMILI TOL, 9168",62.6,62.1,82.4,61.4,63.9,52.8,14,14,7,7,0,0,14,0,100.0
"Morang, Kosi, Eastern",Terai,659,"SIDDHARTHA ENGLISH BOARDING SCHOOL INDRAPUR, 9169",52.2,59.9,80.4,57.9,50.5,56.7,11,11,3,8,0,0,11,0,100.0
"Morang, Kosi, Eastern",Terai,660,"HIMALAYA BALSANSAR ENGLISH BOARDING SCHOOL URLABARI, 9170",55.1,43.8,64.5,53.6,46.3,48.7,13,13,0,10,3,0,13,0,100.0
"Morang, Kosi, Eastern",Terai,661,"PASHUPATI SEC BOARDING SCHOOL BANIGAMA NETACHOWK, 9171",54.0,63.1,86.1,57.3,59.3,48.6,8,8,1,7,0,0,8,0,100.0
"Morang, Kosi, Eastern",Terai,662,"HOLYLAND BOARDING SCHOOL BIRATNAGAR, 9172",59.5,60.8,76.7,51.2,57.5,61.5,15,15,3,12,0,0,15,0,100.0
"Morang, Kosi, Eastern",Terai,663,"MAHENDRA MA VI INDRAPUR-6, 9173",20.7,34.5,30.9,30.1,37.4,40.1,42,42,0,1,16,0,17,25,40.5
"Morang, Kosi, Eastern",Terai,664,"SAPTAKOSHI SECONDARY ENGLISH SCHOOL TRIMURTI PATH, 9174",42.4,44.4,43.5,28.6,41.6,45.4,8,8,0,2,4,0,6,2,75.0
"Morang, Kosi, Eastern",Terai,665,"GRADED ENGLISH MEDIUM SECONDARY SCHOOL MORANG, 9175",62.3,62.3,84.0,55.7,57.3,53.1,7,7,4,3,0,0,7,0,100.0
"Morang, Kosi, Eastern",Terai,666,"RISING NEPAL ENGLISH BOARDING SCHOOL RANI, 9176",45.1,56.4,62.2,39.6,57.9,44.1,19,19,1,9,9,0,19,0,100.0
"Morang, Kosi, Eastern",Terai,667,"TENDER FEET BOARDING SCHOOL DULARI, 9177",49.8,56.0,71.4,50.6,53.4,53.8,11,11,0,11,0,0,11,0,100.0
"Morang, Kosi, Eastern",Terai,668,"MARTYRS MEMORIAL ENGLISH SCHOOL BIRATNAGAR TINTOLI, 9178",63.7,70.0,83.1,59.7,70.4,54.6,7,7,3,4,0,0,7,0,100.0
"Morang, Kosi, Eastern",Terai,669,"BHANUBHAKTA MEMORIAL ENGLISH SCHOOL LAXMIMARG, 9179",57.9,64.7,91.3,67.1,52.8,55.7,16,16,5,11,0,0,16,0,100.0
"Morang, Kosi, Eastern",Terai,670,"MT. MAKALU ENGLISH BOARDING SCHOOL RANGELI, 9180",48.8,37.5,51.8,43.8,42.6,54.2,17,17,0,10,5,0,15,2,88.2
"Morang, Kosi, Eastern",Terai,671,"ARUNODAYA SECONDARY ENGLISH SCHOOL SHANISCHARE, 9181",44.6,63.0,76.0,49.1,53.7,49.0,7,7,0,7,0,0,7,0,100.0
"Morang, Kosi, Eastern",Terai,672,"NARAYAN MA VI DANGRAHA SUKCHAR, 9182",15.1,31.6,12.4,14.8,20.1,29.4,14,13,0,0,2,0,2,11,15.4
"Morang, Kosi, Eastern",Terai,673,"SIDDHARTHA MEMORIAL SECONDARY BOARDING SCHOOL DANG, 9183",44.4,57.9,70.2,53.5,46.6,48.6,17,16,0,15,1,0,16,0,100.0
"Morang, Kosi, Eastern",Terai,674,"GODAVARI ENGLISH SCHOOL BIRATNAGAR, 9184",55.1,54.7,63.3,47.2,50.4,49.3,9,9,0,8,1,0,9,0,100.0
"Morang, Kosi, Eastern",Terai,675,"HOLY CHILD ENGLISH SECONDARY SCHOOL URLABARI, 9185",54.5,65.3,87.0,57.8,61.0,59.5,4,4,1,3,0,0,4,0,100.0
"Morang, Kosi, Eastern",Terai,676,"HARINCHA MODEL ENGLISH SCHOOL HARAINCHA, 9186",49.5,53.7,79.6,58.1,39.3,52.9,11,11,0,10,0,0,10,1,90.9
"Sunsari, Kosi, Eastern",Terai,677,"PRIVATE SUNSARI, 10000",30.6,41.7,45.6,31.3,31.0,41.3,126,123,0,2,68,22,92,30,74.8
"Sunsari, Kosi, Eastern",Terai,678,"BHAGBATI MA VI INARUWA, 10001",26.1,34.8,38.2,27.8,38.8,38.7,185,185,0,9,75,16,100,85,54.1
"Sunsari, Kosi, Eastern",Terai,679,"HARINAGARA MA VI HARINAGARA, 10002",24.9,36.3,43.3,35.3,36.8,39.6,138,136,0,5,59,16,80,55,58.8
"Sunsari, Kosi, Eastern",Terai,680,"JANATA MA VI MADHESHA, 10003",29.6,49.8,44.5,33.5,41.7,41.3,128,128,2,19,65,12,98,30,76.6
"Sunsari, Kosi, Eastern",Terai,681,"SHARADA MA VI BALAHA, 10004",34.1,45.9,55.3,33.5,37.9,49.9,110,110,0,33,51,4,88,22,80.0
"Sunsari, Kosi, Eastern",Terai,682,"PRAKASH MA VI PRAKASHPUR, 10005",23.8,39.6,36.6,30.0,30.2,45.1,225,224,0,16,75,10,101,123,45.1
"Sunsari, Kosi, Eastern",Terai,683,"MAHENDRA MA VI MAHENDRANAGAR, 10006",22.3,41.0,35.8,30.8,35.9,40.7,149,149,0,4,51,12,67,82,45.0
"Sunsari, Kosi, Eastern",Terai,684,"BALKRISHNA MA VI RAMNAGAR BHUTAHA, 10007",32.2,42.6,42.0,45.2,45.3,48.3,70,69,0,13,45,2,60,9,87.0
"Sunsari, Kosi, Eastern",Terai,685,"BHADGAUN SINUWARI MA VI JHUMKA SINUWARI, 10008",30.2,41.5,45.5,31.0,34.8,41.1,252,251,0,30,121,26,177,74,70.5
"Sunsari, Kosi, Eastern",Terai,686,"PAKALI MA VI PAKALI, 10009",22.5,39.6,38.0,24.9,35.9,46.2,113,111,1,9,30,2,42,69,37.8
"Sunsari, Kosi, Eastern",Terai,687,"JANASAHAYOG MA VI HANSPOSA, 10010",22.8,45.0,35.3,30.7,36.2,41.2,156,155,0,16,47,8,71,84,45.8
"Sunsari, Kosi, Eastern",Terai,688,"CHANDRA SAN MA VI DHARAN, 10011",20.7,41.7,41.0,32.9,34.8,52.5,27,27,0,0,10,4,14,13,51.9
"Sunsari, Kosi, Eastern",Terai,689,"SHARADA BALIKA MA VI DHARAN, 10012",27.3,44.5,44.5,39.6,37.9,45.7,129,127,0,12,86,0,98,28,77.2
"Sunsari, Kosi, Eastern",Terai,690,"PUBLIC HIGH SCHOOL DHARAN 12, 10013",29.0,46.1,45.4,31.7,37.6,46.0,408,406,0,52,261,8,321,84,79.1
"Sunsari, Kosi, Eastern",Terai,691,"VIJAYAPUR HIGHER SECONDARY SCHOOL DHARAN, 10014",55.4,62.7,74.6,60.3,60.9,59.7,83,83,15,68,0,0,83,0,100.0
"Sunsari, Kosi, Eastern",Terai,692,"PINDESHWAR SANSKRIT MA VI DHARAN, 10015",21.4,40.6,45.1,33.7,33.0,49.9,7,7,0,0,2,0,2,5,28.6
"Sunsari, Kosi, Eastern",Terai,693,"SARASWATI MA VI BABIYA, 10016",30.3,36.3,50.4,30.5,37.4,49.4,63,63,0,12,27,0,39,24,61.9
"Sunsari, Kosi, Eastern",Terai,694,"NEPAL RASTRIYA MA VI AMAHI BELHA, 10017",40.5,44.6,53.5,33.5,38.3,44.0,97,96,0,20,58,4,82,14,85.4
"Sunsari, Kosi, Eastern",Terai,695,"JANATA MA VI SINGIYA, 10018",27.8,45.6,48.0,28.2,35.1,44.8,153,153,0,18,73,6,97,56,63.4
"Sunsari, Kosi, Eastern",Terai,696,"JANTA MA VI NARASINGA, 10019",25.9,31.7,38.3,27.0,32.7,37.3,58,56,0,3,26,6,35,21,62.5
"Sunsari, Kosi, Eastern",Terai,697,"SHREE SHIKSHA SADAN MA VI DHARAN 15, 10020",38.7,51.2,41.7,40.9,36.8,41.1,240,239,0,38,135,9,182,57,76.2
"Sunsari, Kosi, Eastern",Terai,698,"BOARDING MA VI DHARAN, 10021",58.8,50.8,69.4,51.5,51.7,46.6,16,16,0,15,1,0,16,0,100.0
"Sunsari, Kosi, Eastern",Terai,699,"PUBLIC MA VI PHUSRE DHARAN, 10022",25.8,38.6,45.1,41.2,34.9,36.1,83,73,1,15,35,2,53,17,72.6
"Sunsari, Kosi, Eastern",Terai,700,"ADARSHA MA VI BARAHACHHETRA CHATARA, 10023",23.9,39.0,35.7,29.2,35.4,42.3,186,185,0,13,48,11,72,112,38.9
"Sunsari, Kosi, Eastern",Terai,701,"SHAHID SMRITI MA VI GANGALAL MARG DHARAN, 10024",28.4,45.7,49.4,28.5,35.7,37.1,107,107,0,12,48,7,67,39,62.6
"Sunsari, Kosi, Eastern",Terai,702,"BOARDING MA VI ITAHARI, 10025",50.8,61.8,77.1,48.9,52.9,48.2,78,78,7,55,15,0,77,0,98.7
"Sunsari, Kosi, Eastern",Terai,703,"SHIKSHA NIKETAN MA VI DHARAN-6, 10026",34.6,50.6,48.0,45.5,39.1,43.4,312,311,0,44,241,11,296,13,95.2
"Sunsari, Kosi, Eastern",Terai,704,"DEPOT MA VI GHOPACAMP DHARAN, 10027",63.9,63.0,87.2,64.3,57.0,51.3,68,68,15,53,0,0,68,0,100.0
"Sunsari, Kosi, Eastern",Terai,705,"JAGANNATH DED RAJ JANATA MA VI KALABANJAR, 10028",24.6,44.5,46.8,32.2,36.2,33.9,226,226,0,13,76,47,136,90,60.2
"Sunsari, Kosi, Eastern",Terai,706,"JANATA MA VI MADHUVAN, 10029",26.0,39.8,35.9,29.3,45.3,44.9,118,118,0,15,52,2,69,49,58.5
"Sunsari, Kosi, Eastern",Terai,707,"JANATA MA VI ITAHARI, 10031",22.6,43.3,33.3,31.8,33.4,40.4,187,187,0,16,42,6,64,123,34.2
"Sunsari, Kosi, Eastern",Terai,708,"SHARADA MA VI KHANAR, 10032",28.0,47.3,48.7,34.7,40.0,37.9,80,80,0,14,36,7,57,23,71.3
"Sunsari, Kosi, Eastern",Terai,709,"BISHNU MA VI SONAPUR, 10033",25.9,37.1,36.2,30.3,36.0,47.9,51,51,0,4,18,0,22,29,43.1
"Sunsari, Kosi, Eastern",Terai,710,"SARASWATI MA VI DUHABI, 10034",20.4,41.0,44.9,30.9,36.3,33.8,165,165,0,3,50,7,60,105,36.4
"Sunsari, Kosi, Eastern",Terai,711,"RAMSITA MA VI BHIMNAGAR, 10035",35.1,46.6,48.5,31.5,37.7,50.0,134,134,0,23,90,2,115,19,85.8
"Sunsari, Kosi, Eastern",Terai,712,"SARASWATI MA VI AURAWANI, 10036",18.5,39.5,31.2,24.2,34.7,32.9,133,133,0,6,26,6,38,95,28.6
"Sunsari, Kosi, Eastern",Terai,713,"ADARSHA MA VI BAKLAURI BAZAR, 10037",22.1,47.2,42.6,33.0,38.5,36.3,148,148,0,8,51,11,70,78,47.3
"Sunsari, Kosi, Eastern",Terai,714,"JANATA MA VI HATTIMUDHA, 10038",18.0,23.4,27.3,23.2,24.3,35.3,54,53,0,1,5,1,7,46,13.2
"Sunsari, Kosi, Eastern",Terai,715,"GYANODAYA MA VI DHARAN, 10039",31.6,45.8,49.4,28.3,36.4,36.6,138,134,0,19,75,4,98,35,73.1
"Sunsari, Kosi, Eastern",Terai,716,"SARASWATI MA VI PANBARI, 10040",32.1,35.8,32.4,39.0,34.3,31.4,113,95,0,15,65,0,80,15,84.2
"Sunsari, Kosi, Eastern",Terai,717,"MAJADUR KISAN MA VI MADHELI, 10041",17.0,30.4,25.4,22.4,28.2,42.3,155,155,0,1,23,4,28,127,18.1
"Sunsari, Kosi, Eastern",Terai,718,"AMAR SINGH MA VI SAHEBGUNJ, 10042",32.9,36.7,47.5,32.4,37.8,43.9,74,74,0,1,49,13,63,11,85.1
"Sunsari, Kosi, Eastern",Terai,719,"PEACE ZONE AWASIYA MA VI ITAHARI, 10043",52.1,67.0,75.8,51.2,54.9,49.4,97,97,14,71,12,0,97,0,100.0
"Sunsari, Kosi, Eastern",Terai,720,"GOPAL MA VI TANMUNA, 10044",25.1,43.1,39.0,27.4,27.0,42.6,75,74,0,6,27,1,34,40,45.9
"Sunsari, Kosi, Eastern",Terai,721,"SARASWATI MA VI BAUKAJHODA, 10045",25.4,37.0,26.3,28.9,38.0,41.5,58,56,0,4,20,4,28,28,50.0
